name,idea,website
ADVAITA CYBERNETICS PRIVATE LIMITED,"Advaita Cybernetics Private Limited is an Indian deep-tech startup pioneering the development of the world's first biologically accurate artificial general intelligence (AGI) system. Founded with the vision of creating machines that genuinely think, reason, learn, and evolve like the human brain, the company operates at the intersection of computational neuroscience, neuromorphic engineering, advanced robotics, and custom semiconductor design.
Unlike the current generation of artificial intelligence — large language models (LLMs) such as ChatGPT, Gemini, and Claude — which rely on statistical pattern matching over massive text corpora to predict the next word, our flagship platform TrinetraAI takes a fundamentally different approach. TrinetraAI is built on a spiking neural network (SNN) architecture modeled after the actual biological mechanisms of the human brain: 86 billion neurons with spike-timing-dependent plasticity (STDP), hippocampal memory, spreading activation for domain routing, first-principles reasoning from typed axioms, and biological sleep cycles for memory consolidation and creative synthesis.
The company's name ""Advaita"" (अद्वैत) is a Sanskrit philosophical term meaning ""non-dual"" — reflecting our core belief that consciousness and computation are not separate phenomena but two manifestations of the same underlying intelligence. This philosophy drives our engineering: rather than building narrow AI tools that mimic intelligence superficially, we are constructing a complete artificial being — brain, body, neuromorphic processor, custom GPU, and energy source.
Advaita Cybernetics is a full-stack AI company with no dependency on external AI providers. We design our own intelligence, hardware to run it, humanoid bodies to embody it, vision system to perceive the world, and energy core to power it Hridaya. This complete vertical integration — from silicon to cognition to embodiment — is unprecedented in the global AI industry.",advaitacybernetics.com
THE ESSENTIAL NUTRA PRIVATE LIMITED,"We are building this company with one clear intention — to give children better, safer, and truly nourishing food options.

Today, many products made for kids are filled with excessive sugar, artificial additives, and ingredients that don’t support their long-term health. As people who deeply care about what goes into our bodies, we felt there was a need for something better — something parents can trust without second-guessing.

Our brand focuses on creating clean, functional nutrition for children by combining the goodness of everyday food with carefully chosen, science-backed ingredients.

We are committed to using only clean, high-quality ingredients, with no harmful additives, or unnecessary fillers. While our products deliver added nutritional benefits, they are made to feel familiar, enjoyable, and easy to include in a child’s daily routine.

At our core, we believe that nutrition should not feel like medicine — it should feel natural, safe, and made with care. Our goal is to build a brand that parents trust, children love, and families can rely on for better everyday choices.

Because when it comes to children’s health, only the best should be good enough.",theritualshift.com
CLUES LABS (OPC) PRIVATE LIMITED,"Clu is a technology driven hyperlocal marketplace comprising two applications, Clu (customer app) and Clu Partner (service provider app), designed to organize and digitize local service delivery in India while empowering local service providers.

Clu (customer app) connects users with trusted nearby service providers such as electricians, plumbers, laundry partners, car washers, pest control professionals, gardeners, and other skilled workers. The platform simplifies service discovery, booking, and payments through a seamless digital interface, improving accessibility and transparency for consumers.

Clu Partner (service provider app) enables local service professionals to onboard digitally, manage bookings, and access a wider customer base. It provides tools for scheduling, service management, and demand aggregation, empowering local service providers to improve operational efficiency and increase income opportunities within a structured ecosystem.",https://cluapp.in
VANAE BY EISHA (OPC) PRIVATE LIMITED,Vanae is a women led sustainable fashion startup focused on designing modern eco friendly apparel using ethical sourcing and responsible production practices. The brand operates through a direct to consumer model with outsourced manufacturing and leverages digital platforms to reach customers across India. Vanae emphasizes minimal and timeless design while ensuring quality and scalability. The company aims to build a circular fashion ecosystem by introducing recycled fabric innovation from plastic waste and plans to expand through offline retail stores in metropolitan cities while strengthening its sustainable supply chain.,https://vanae.in/
REHABIPHY HEALTH TECHNOLOGIES PRIVATE LIMITED,"Rehabiphy Health Technologies Private Limited is an innovative health-tech startup transforming the way individuals approach rehabilitation and preventive wellness. Operating at the intersection of physiotherapy and digital health, Rehabiphy offers personalized, remote-first rehabilitation services tailored to modern lifestyles, especially for sedentary professionals facing posture-related and chronic health issues.
The platform integrates expert physiotherapy consultations, ergonomic correction, and customized recovery plans with its unique product, FitHabit—a gamified habit-building ecosystem that encourages users to adopt healthier daily routines such as walking, hydration, and exercise. By rewarding consistency through a coin-based system, Rehabiphy enhances user engagement and long-term adherence to wellness practices.
Positioned as a full-stack wellness ecosystem, Rehabiphy not only addresses pain management but also promotes proactive health improvement by connecting users with fitness services like gyms, yoga centers, and nutrition experts, ultimately reducing reliance on reactive healthcare.",www.rehabiphy.com
PHOENIXINSIGHTS PRIVATE LIMITED,"PhoenixInsights Pvt. Ltd. provides AI and data analytics solutions for predictive modeling, automation, and business intelligence. It helps businesses make real-time decisions by integrating AI systems directly into workflows.",https://phoenixinsightsai.com/
CAMPUSGARH PRIVATE LIMITED,"CampusGarh is an education startup offering personalized career counseling and admission guidance for students after Class 12 and graduation. With a student-first approach, it provides transparent, verified information on colleges and courses, helping students make informed, confident decisions for their future.",https://campusgarh.com/
SUVARI RESOURCE RECOVERY PRIVATE LIMITED,"Suvari Resource Recovery Pvt. Ltd. is an emerging deep-tech venture in the circular economy sector, dedicated to the industrial-scale conversion of organic waste into high-value resources. Based in Kerala, the company bridges the gap between laboratory research and real-world industrial application through advanced biotechnology and chemical engineering.",www.suvarirecovery.com
TRUESECUR TECHNOLOGIES LLP,"TrueSecur Technologies LLP is an AI-native cybersecurity startup incorporated on 21 November 2025, focused on building proprietary products and productized services in AI governance, AI-based SOC maturity assessment, digital forensics, and enterprise cybersecurity. The company was founded to address a major gap in the market: traditional cybersecurity assessments and governance models are largely static, manual, and not designed for AI-era risks such as insecure enterprise AI adoption, prompt injection, model misuse, sensitive data leakage, and evolving SOC capability requirements.

TrueSecur is developing technology-led solutions that combine cybersecurity engineering, assessment frameworks, automation, and applied research. Its current focus areas include an AI-based SOC maturity platform designed to make security assessment more evidence-driven and scalable, and an enterprise AI governance platform intended to help organizations adopt external AI systems securely through policy enforcement, monitoring, and data protection controls.
Since launch, the company has already generated approximately INR 6.5 lakh in revenue, demonstrating early commercial validation. TrueSecur has executed paid cybersecurity work for enterprise customers, including digital forensics-related solution development in the drone ecosystem. The founder has also delivered cybersecurity services connected to the IITM Pravartak ecosystem through a third party and holds an appointment as a consultant-ad.  The company is pursuing enterprise opportunities for its AI governance and AI-native security offerings while contributing to confidential strategic govt projects that cannot be publicly disclosed due to sensitivity and contractual restrictions.
TrueSecur operates with a long-term vision of transitioning from consulting-led execution to scalable platform-led cybersecurity products. Its business model combines B2B SaaS, APIs, specialized cybersecurity services, and research-driven solutions",www.truesecur.com
WEFETCH TECHNOLOGIES PRIVATE LIMITED,"Wefetch is a sustainability and ESG services company that provides subscription-based virtual sustainability teams for small and medium enterprises (SMEs). We help businesses manage ESG reporting, regulatory compliance, and carbon tracking without the need for in-house teams.

Our services cover global and regional frameworks such as CBAM, BRSR, GRI, and EcoVadis. By combining domain expertise with technology-enabled workflows, we simplify complex sustainability requirements and make compliance affordable, scalable, and continuous.

Wefetch aims to bridge the gap between growing regulatory demands and limited in-house capabilities of SMEs, enabling them to become globally competitive and environmentally responsible.",https://www.wefetch.tech/
SHREEKARI LOCOTECH SERVICES,"Shreekari Locotech Services is a professional maintenance and infrastructure solutions provider specializing in government tenders. We are committed to delivering high-quality upkeep, repair, and engineering services across a wide range of infrastructure and industrial projects, strictly adhering to government standards and regulatory requirements. We majorly focus on railway projects.

With a focus on efficiency, reliability, and innovation, we continuously strive to enhance service quality while reducing project turnaround time. Our approach integrates modern techniques and streamlines processes to deliver effective and sustainable solutions.

Our Services
We offer a comprehensive range of services, including:
1. Civil, Mechanical, and Electrical Works- Complete execution of engineering and infrastructure projects.
2. Technical &amp; Hardware Support - Supply, maintenance, and repair of machinery and equipment.
3. Maintenance &amp; Repair Solutions- Rehabilitation, fabrication, overhauling, welding, and painting of wagons and industrial assets.
4. Workshop &amp; Housekeeping Support- Efficient operational support for workshops and industrial facilities.
5. Electrical Installations- Installation of electrical equipment for general and industrial purposes.
6. Motor Works - Servicing, repair, and maintenance of motors and related systems.
7. Transportation Services - Reliable logistics solutions for goods and general operational needs.
8. Material Procurement - Sourcing and supply of quality materials for project requirements.
9. Manpower Supply- Provision of skilled and unskilled workforce for various operational needs.",https://www.shreekarilocotechservices.com/
Urjiva Bioinnovations,"Along with agritech solutions, our startup is developing a novel bio-integrated platform for sustainable resource recovery that utilizes engineered plant–microbe systems to extract valuable elements from low-grade sources such as industrial residues, mine tailings, and marginal soils. By combining rhizosphere-driven mobilization with biological accumulation and controlled downstream processing, we convert diffuse resources into concentrated, refinery-compatible feedstock. This approach offers a low-energy, environmentally responsible alternative to conventional extraction methods, while also enabling on-site waste remediation. Designed as a modular and adaptable system, the technology can be deployed across diverse feedstocks and geographies, supporting circular economy goals, improving resource efficiency, and strengthening sustainable industrial supply chains.",urjivabio.com
JURISFLO PRIVATE LIMITED,"Jurisflo is building India’s first AI-powered legal operating system—redefining how legal professionals work, think, and deliver outcomes.

The legal ecosystem today is vast but deeply fragmented. Lawyers juggle multiple tools, manual processes, and disconnected systems for case management, research, drafting, and court workflows. This not only reduces efficiency but also slows down the delivery of justice itself.

Jurisflo was created to change that.

We bring together legal workflows, intelligence, and automation into one unified platform, enabling advocates and law firms to manage their entire practice from a single intelligent dashboard. Powered by a domain-validated AI architecture, Jurisflo delivers accurate, contextual, and reliable assistance across research, drafting, analysis, and decision-making—transforming AI from a generic tool into a true legal co-pilot.

But our vision goes beyond productivity.

We are building the foundation for India’s digital justice infrastructure—a connected ecosystem that will eventually serve not just advocates, but also courts, institutions, and the broader legal system. By reducing inefficiencies, improving transparency, and accelerating workflows, Jurisflo aims to make legal practice more effective and justice more accessible.

At its core, Jurisflo is driven by a simple belief:
The future of law is not manual—it is intelligent, unified, and built for scale.",https://www.jurisflo.in/
